id,name,city,state,website,found_email,source_page
"778a28db-cf91-406d-bc6d-c4aed1e7bb71","Alaska Aerofuel","Fairbanks","AK","https://alaskaaerofuel.com","heating-oil@atlanticaviation.com","homepage"
"a704fd73-02b2-4970-bac3-353565b3e80a","Alaska Fuel Services","Fairbanks","AK","https://alaskafuelservices.com","frontdesk@alaskafuelservices.com","homepage"
"f5fd027f-c562-40be-9a50-2c42e8b87c26","Alaska Petroleum Distributing","Fairbanks","AK","https://alaskapetroleum.com","office@alaskapetroleum.com","/contact"
"30a213d6-a032-4f11-8eb9-48141c2f26de","Bethany Fuel","Bethany","CT","https://www.bethanyfuel.com","karl@bethanyfuel.com","homepage"
"f07cbdda-7069-4723-9389-91af2e773426","Centsable Oil","Waterbury","CT","https://centsableoil.com","info@centsableoil.com","/contact-us"
"3eac8b73-3b28-4abb-af53-1b4b20f16d3b","Coastal Energy CT","Norwalk","CT","https://coastalenergyct.com","coastalenergy203@yahoo.com","homepage"
"3ce09ebf-85c2-4371-81bb-293b5f7f9082","Eazy Oil LLC","Plantsville","CT","https://eazyoil.net/","06479860-426-3720eazyoilllc@gmail.com","homepage"
"00d3d8f2-a545-4d16-be7c-fab918af8445","Elite Energy CT","Fairfield","CT","https://eliteenergyct.com","eliteenergyct@gmail.com","homepage"
"5b914d70-b987-4cf0-9d78-3f39944b6a7d","First Fuel Oil","Milford","CT","https://firstfueloil.com","info@firstfueloil.com","homepage"
"577dc573-2c75-45b9-9e92-a772f6bf0e53","FJB Oil","Wolcott","CT","https://fjboil.com","info@ggoilct.com","homepage"
"9301de42-b3c4-43ac-9eb2-cdcc59e71680","Joes Fuel Company","Bridgeport","CT","https://www.joesfuelct.com/","374-1804emailjoesfuel14@gmail.comoffice","/contact"
"697069db-b501-46e7-a791-ffb81248943b","Premier Energy","Canton","CT","https://www.premierenergyct.com","office@premierenergyct.com","homepage"
"0864755d-af55-407f-9250-ca1dadd2bf78","Red Door Oil","Simsbury","CT","https://reddooroil.com","reddooroil@gmail.com","homepage"
"aaa01976-de96-4622-916a-c898600f2f96","Residential Fuel Systems","Bridgeport","CT","https://residentialfuelsystems.com","info@residentialfuelsystems.com","homepage"
"c933c2de-eb53-4f53-9b20-d385f39f7d72","Robert's Discount Fuel","Enfield","CT","https://robertsdiscountfuel.com","info@robertsdiscountfuel.com","homepage"
"76a66317-8964-453d-8dd0-d6876b5452d8","Westbrook Oil","Essex","CT","https://www.westbrookoilct.com","06426860-664-5116skiesewetter58@gmail.com","homepage"
"849034e8-35c9-411d-876a-d0dcac48e2ce","WestConn Energy","Seymour","CT","https://westconnenergy.com","westconnenergy@gmail.com","homepage"
"e759b753-7f0b-414c-844e-2a5b107c2d1a","Westmore Oil Express","Waterbury","CT","https://westmoreoilexpress.com","info@westmoreoilexpress.com","homepage"
"c21fb85d-3f85-4540-bc1f-68dd9291560c","Wilcox Oil","Milford","CT","https://wilcoxoilonline.com","customersupport@wilcoxoilonline.com","homepage"
"2b7b7912-485e-413b-ba9f-b4b9b59f96ea","Discount Oil DE","Newark","DE","https://discount-oil.net/","discountoil@comcast.net","homepage"
"90cbf67a-7c0a-40be-84cc-00636adcbe6e","Affordable Fuel","Various","MA","https://orderaffordablefuel.com","affordablefuelinc@comcast.net","homepage"
"4b5a1e3d-fba1-4b65-9752-d1c805c5493f","Albert Culver","Rockland","MA","https://albertculver.com","albertculver5050@yahoo.com","homepage"
"3065a0da-a578-42d5-bfc9-a38c0ff1dc68","Alves Fuels","Ludlow","MA","https://alvesfuels.com","info@alvesfuels.com","homepage"
"39735195-8800-46e3-9019-eab024478b03","Arrow Fuel","Seekonk","MA","https://arrowfuel.com","info@arrowfuel.com","/contact-us"
"98821876-bc4e-412a-8da6-f806865dc02b","B&B Fuel","Sandwich","MA","https://bandbfuel.com/","office@bandbfuel.com","homepage"
"9786447c-b371-47ec-9869-9c465fc56b53","Bottom Line Oil","Northampton","MA","https://bottomlineoil.com","sales@bottomlineoil.com","/contact"
"e41aebf0-fbe8-47ee-b274-a25e3b8cb4a3","Bridgewater Fuel","Avon","MA","https://bridgewaterfuelco.com","info@bridgewaterfuelco.com","/contact"
"cd530893-aa22-4a8b-b445-6a43a3715bce","Carey Discount Oil","Hanson","MA","https://careysoil.com/","info@careysoil.com","homepage"
"83f33bee-7457-4dcd-b881-6fe756a293f2","Charlton Oil & Propane","Charlton","MA","https://charltonoil.com","info@charltonoil.com","homepage"
"a3936403-522b-4b09-bc73-e77a87a448bd","Daddy's Oil","MetroWest","MA","https://daddysoil.com","info@daddysoil.com","homepage"
"a796c7ff-ce07-4db9-9bb5-cd19eec23fc8","Deep Discount Oil","South Shore","MA","https://deepdiscountoil.com","sales@deepdiscountoilnh.com","homepage"
"bce26502-a95f-4b47-8d25-f7d4ac455529","Direct Fuel","Peabody","MA","https://directfuel.net","info@directfuel.net","homepage"
"b0a1db5b-9431-42c5-b99a-4505fa5cb24f","George's Oil","Worcester","MA","https://www.georgesoil.com/","george@georgesoil.com","homepage"
"6e1babb2-eb59-430d-92cb-47f7cd9905b7","G&G Fuel","Brockton","MA","https://gandgfueloilinc.com","gandgfueloil@gmail.com","/contact-us"
